,submarca,descricao_completa,descricao_ajustada,de_para
0,ADRIATICA,"A Cerveja Adriática 600ml foi criada pelo alemão Henrique Thielen, um visionário cervejeiro do início do século XX. Ela teve seu nome em homenagem à cervejaria que traduz toda uma era de tradição passada de pai para filho. Hoje, conhecida como a irmã mais velha da Original, ela é uma pedida certa para a mesa de bar. Reconhecidamente uma cerveja puro malte de alta qualidade, fácil de beber e com aromas especiais que dão um toque equilibrado.. . água, malte, lúpulo. cevada, glúten. . ",Cerveja Adriática 600ml criar alemão Henrique Thielen visionário cervejeiro início século XX nome homenagem cervejar traduzir tradição passar pai filhar Hoje irmão velho Original pedir certo mesa bar Reconhecidamente cervejar puro maltar alto qualidade fácil beber aromar especial tocar equilibrar água maltar lúpulo cevar glúten,
1,ANDES,"Puro malte argentino inspirado no frescor das Cordilheiras dos Andes. Cerveja mais fresca, inspirada nas cordilheiras. Ingredientes argentinos: malte e lúpulo argentinos.. Harmoniza com churrasco, choripan e queijos leves. água, malte, lúpulo. cevada, glúten. . ",Puro maltar argentino inspirar frescor Cordilheiras Andes Cerveja fresco inspirar cordilheira Ingredientes argentino maltar lúpulo argentino Harmoniza churrasco choripan queijo leve água maltar lúpulo cevar glúten,TRIPLE KARMELIET
2,BECKS,"Beck’s é uma legítima German Lager Puro Malte, que segue à risca a lei da pureza da cerveja alemã desde 1873. Seu IBU (unidade internacional de amargor) é 20. O resultado é uma cerveja de amargor intenso, sabor marcante e excepcional pureza.Ela é provocante, cheia de personalidade e com um sabor característico e único. A cerveja alemã mais vendida no mundo.. Por ser uma cerveja tradicional da Alemanha, harmoniza bem com os principais pratos alemães. Mas para quem busca alimentos mais leves ela também harmoniza com peixes grelhados, frutos do mar e saladas por conta da sua alta refrescância.. água, malte, lúpulo. cevada, glúten. 0-4 ºC. 20.0",Beck ’s legítimo German Lager Puro Malte seguir riscar lei pureza cervejar alemão 1873 IBU unidade internacional amargor 20 resultar cervejar amargor intenso sabor marcante excepcional pureza provocante cheio personalidade sabor característico único cervejar alemão vendido mundo cervejar tradicional Alemanha harmonizar principal prato alemão buscar alimento leve harmonizar peixe grelhar fruto mar salada contar alto refrescância água maltar lúpulo cevar glúten 0-4 ºC. 20.0,KWAK
3,BERRIO DO PIAUI,"Produzida e vendida somente no Piauí, ideal para aliviar o B-R-O-BRÓ sem fim do estado. Leva na receita caju plantado e colhido por pequenos produtores do estado, adquirido sem intermédios gerando renda para as regiões menos favorecidas e diminuindo o desperdício do insumo. Feita por piauienses e pensada para piauiense, sua receita é desenvolvida com ingredientes que a tornam leve e refrescante e com o sabor que o Piauí gosta.. A Berrió harmoniza bem com paçoca, arroz Maria Isabel e Capote frito.. lúpulo, água, malte, milho, suco de caju. cevada, glúten. 0-4 ºC. 7.0",Produzida vendido Piauí ideal aliviar B-R-O-BRÓ Leva receitar caju plantar colher pequeno produtor adquirir intermédio gerar render região favorecido diminuir desperdício insumo Feita piauiense pensar piauiense receitar desenvolvido ingrediente tornar levar refrescante sabor Piauí gostar Berrió harmonizar paçoca arroz Maria Isabel Capote fritar lúpulo água maltar milho suco caju cevar glúten 0-4 ºC. 7.0,BIRRA DEL BORGO
4,BUDWEISER,"O processo de produçãoda Budweiser é diferenciado, por utilizar lascas de Beechwood (madeira especial) durante os processos de fermentação e maturação. O resultado é um cerveja de sabor único e com equilíbrio perfeito: marcante no início e suave no final.. O sabor marcante no começo e suave no final de Budweiser pede que ela harmonize com hambúrguer clássico, presunto cozido e mix de castanhas.. água, malte, arroz, lúpulo. cevada, glúten. 0-4 ºC. 10.0",processar produçãoda Budweiser diferenciar utilizar lascar Beechwood madeirar especial durante processo fermentação maturação resultar cervejar sabor único equilíbrio perfazer marcante início suave sabor marcante comedir suave Budweiser pedir harmonizar hambúrguer clássico presunto cozer mix castanho água maltar arroz lúpulo cevar glúten 0-4 ºC. 10.0,BUD
5,CARACU,"Caracu, a cerveja preta FORTE E GOSTOSA, foi lançada em 1899. Hoje uma das marcas mais tradicionais do Brasil, Caracu é conhecida por seu sabor encorpado e sua energia, possui aroma de malte torrado, que faz lembrar café. E sua fama de ser uma cerveja forte não é à toa. Por não ser filtrada, Caracu é mais nutritiva, contém levedura e proteínas.. As notas de malte torrados deixam essa cerveja excelente para harmonizar com sobremesas, como torta de chocolate e sorvete de creme.. água, malte, milho, lúpulo, corante caramelo iii ins 150c. cevada, glúten. 8-12 ºC. 22.0",Caracu cervejar preto FORTE GOSTOSA lançar 1899 Hoje marcar tradicional Brasil Caracu sabor encorpar energia possuir aromar maltar torrar lembrar café fama cervejar forte toar filtrar Caracu nutritivo conter levedura proteína noto maltar torrar deixar cervejar excelente harmonizar sobremesa torto chocolate sorvete cremar água maltar milho lúpulo corante caramelo iii ins 150c cevar glúten 8-12 ºC. 22.0,GINETTE BLANCHE
6,ESMERA DE GOIAS,"Produzida e vendida exclusivamente em Goiás, para brindar os goianos e toda a cultura do estado. A receita tem mandioca do pé rachado ou seja, mandioca cultivada por agricultores da região nordeste de Goiás, adquirida sem intermédios, levando renda às famílias de regiões menos favorecidas. Feita por goianos e para goianos, Esmera é uma cerveja leve e refrescante, preparada com ingredientes do daqui para homenagear tudo que é goianos demais da conta.. Harmoniza com arroz com pequi, galinhada e pamonha salgada.. lúpulo, água, malte, mandioca, milho. cevada, glúten. 0-4 ºC. 9.0",Produzida vendido exclusivamente Goiás brindar goiano cultura receitar mandioca pé rachar ser mandioca cultivar agricultor região nordeste Goiás adquirir intermédio levar render família região favorecido Feita goiano goiano Esmera cervejar levar refrescante preparar ingrediente daqui homenagear goiano contar Harmoniza arroz pequi galinhada pamonha salgar lúpulo água maltar mandioca milho cevar glúten 0-4 ºC. 9.0,CAMDEN HELLS
7,HOEGAARDEN,"Hoegaarden é uma Witbier belga feita de trigo, não filtrada e de cor clara. As sementes de coentro e raspas de casca de laranja, utilizadas em sua receita, conferem um sabor refrescante, suave e ao mesmo tempo doce e levemente cítrico. Com um aroma marcante e sabor original, Hoegaarden ganhou o World Beer Cup® Gold Award 6 vezes e, harmoniza perfeitamente com peixes e frutos do mar.. Cervejas aromáticas como a Hoegaarden realçam o sabor de peixes, frango grelhado e ceviche. A leve acidez da cerveja ajuda a quebrar a gordura de pratos mais gordurosos, como feijoada.. água, malte de cevada, trigo, semente de coentro, casca de laranja, lúpulo, estabilizante pectina de fruta. . 4-8 ºC. 13.0",Hoegaarden Witbier belga feito trigar filtrar cor claro semente coentro raspar cascar laranjo utilizar receitar conferir sabor refrescante suave doce levemente cítrico aromar marcante sabor original Hoegaarden ganhar World Beer Cup Gold Award harmonizar perfeitamente peixe fruto mar Cervejas aromático Hoegaarden realçar sabor peixe frango grelhar ceviche levar acidez cervejar ajudar quebrar gordura prato gorduroso feijoada água maltar cevar trigar sementar coentro cascar laranjo lúpulo estabilizante pectina frutar 4-8 ºC. 13.0,HOEGAARDEN GRAND CRU
8,LEFFE,"A cerveja Leffe Blonde possui maltes selecionados que criam uma cerveja encorpada e turva. Seu aroma é extremamente maltado e aroma sabor adocicado. É uma cerveja do tipo Belgian Blond Ale com 6,6% de teor alcoólico e harmoniza com  peixes, frutos do mar e queijo gruyère ou emmental.. . água, malte de cevada, milho, cevada, açúcar, lúpulo. . . ","cervejar Leffe Blonde possuir malte selecionados criar cervejar encorpar turvo aromar extremamente maltar aromar sabor adocicar cervejar Belgian Blond Ale 6,6 teor alcoólico harmonizar peixe fruto mar queijar gruyère emmental água maltar cevar milho cevar açúcar lúpulo",LEFFE TRIPLE
9,LEGITIMA,"Feita no Ceará para os cearences, com mandioca do interior que traz leveza e refrescância para a cerveja.. Por ser uma cerveja leve vai bem com frutos do mar, peixes e amendoim.. água, malte, milho, mandioca, lúpulo. cevada, glúten. 0-4º C. 8.0",Feita Ceará cearences mandioca interior trazer leveza refrescância cervejar cervejar levar fruto mar peixe amendoim água maltar milho mandioca lúpulo cevar glúten 0-4º C. 8.0,GINETTE TRIPLE
