,PedidoProdutoId,ProdutoMarca,ProdutoSubmarca,ProdutoSegmento2,ProdutoTipoContainer,ProdutoTamanhoContainer,ProdutoVariedade,ProdutoSegmento1,ProdutoPercentAlcoolico,cluster,de_para,cluster_caracteristica
0,10946,LEFFE,LEFFE BLONDE,Spécialités,PERFECT DRAFT,6.0,Blonde,PREMIUM,6.600000000000001,4,LEFFE,3
1,19898,,,,,0.0,,,5.0,0,ADRIATICA,3
2,80176,,,,,0.0,,,0.0,2,ADRIATICA,3
3,66989,TRIPLE KARMELIET,TRIPLE KARMELIET,Craft,PERFECT DRAFT,6.0,-,SUPER PREMIUM,8.0,3,ANDES,3
4,11766,,,,,0.0,,,5.2,0,ADRIATICA,3
5,16550,,,,,0.0,,,3.8,0,ADRIATICA,3
6,16519,,,,,0.0,,,4.6,0,ADRIATICA,4
9,29777,,,,,0.0,,,5.0,0,ADRIATICA,4
10,48859,,,,,0.0,,,5.2,0,ADRIATICA,4
11,3450,,,,,0.0,,,4.8,0,ADRIATICA,3
12,63480,,,,,0.0,,,5.0,0,ADRIATICA,3
13,70601,GOOSE,GOOSE,Craft,PERFECT DRAFT,6.0,-,SUPER PREMIUM,5.899999999999999,3,GOOSE ISLANDGOOSE IPA,4
14,10947,HOEGAARDEN,HOEGAARDEN WHITE,Spécialités,PERFECT DRAFT,6.0,Blanche,PREMIUM,4.8,4,HOEGAARDEN,4
15,33335,HOEGAARDEN,HOEGAARDEN ROSEE,Super Spécialités,PERFECT DRAFT,6.0,Rosée,PREMIUM,3.0,4,HOEGAARDEN,4
18,20614,LEFFE,LEFFE RUBY,Super Spécialités,PERFECT DRAFT,6.0,Ruby,PREMIUM,5.0,4,LEFFE,4
19,63481,,,,,0.0,,,5.2,0,ADRIATICA,4
21,82315,KWAK,KWAK,Craft,BOTTLE VP - Hors Tendances,0.75,-,SUPER PREMIUM,8.4,1,BECKS,4
22,59874,TRIPLE KARMELIET,TRIPLE KARMELIET,Craft,BOTTLE VC,0.33,-,SUPER PREMIUM,8.4,1,ANDES,3
23,71316,BUD,BUD,Pils,PERFECT DRAFT,6.0,Bud,PREMIUM LAGER,5.0,3,BUDWEISER,4
24,3530,,,,,0.0,,,5.1,0,ADRIATICA,4
26,18690,,,,,0.0,,,4.9,0,ADRIATICA,4
29,61629,KWAK,KWAK,Craft,PERFECT DRAFT,6.0,-,SUPER PREMIUM,8.4,3,BECKS,4
30,64665,LEFFE,LEFFE AMBREE,Spécialités,PERFECT DRAFT,6.0,Ambrée,PREMIUM,6.600000000000001,4,LEFFE,4
31,17028,LEFFE,LEFFE RITUEL 9°,Super Spécialités,PERFECT DRAFT,6.0,Rituel,PREMIUM,9.0,4,LEFFE,4
33,63466,GOOSE,GOOSE,Craft,BOTTLE VP - Hors Tendances,0.35,-,SUPER PREMIUM,4.2,1,GOOSE ISLANDGOOSE IPA,0
39,53566,LEFFE,LEFFE ROYALE,Super Spécialités,PERFECT DRAFT,6.0,IPA,PREMIUM,7.5,4,LEFFE,7
